NO,POINT_PEMERIKSAAN,ID,NOMINAL,Newnom,Uppertol,Lowertol,KP
N000,HEIGHT MILLING,X Value_Plane 34,-34.0,34.0,0.2,-0.2,
N000,FLATNESS,Flatness1,0.0,0.0,0.03,0.0,
N004,POSISI X THD CENTER Ø 37,Distance 32.5_Z,32.5,32.5,0.15,-0.15,
N004,POSISI SUMBU Y THD D,C Distance 6.8_Y,6.8,6.8,0.2,-0.2,
N004,POSISI SUMBU Y THD E,C Distance 5.7_Y,5.7,5.7,0.2,-0.2,
N005,DISTANCE THD N004,Z Value_DIA 3 BWH,-65.0,65.0,0.05,-0.05,
N007,POSISI SUMBU X THD N004,Z-Value Circle ATS,-7.5,7.5,0.2,-0.2,
N007,POSISI Y THD N004 ,Y-Value Circle ATS,-0.8,0.8,0.2,-0.2,
N006,DISTANCE THD N007,Distance 50_Z,50.0,50.0,0.2,-0.2,
